name,category,price,label,rating,description,details,stock,sold_stock,discount,charms,jewel_set_products,created_at,is_charm_spreadable
Love 2in1 Hoops,earring,63175,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting Love 2in1 Sparklore dengan desain unik dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk kegiatan sehari-hari. Anting hoops dengan sentuhan minimalis berbentuk hati yang membuat penampilan menjadi lebih unik yang tyda berlebihan. 2in1 disini adalah Anting yang bisa menjadi 2 anting yang berbeda, hate pada anting Love 2in1 ini dapat di lepas sehingga jika Anda memerlukan anting hoops polos Anda bisa melepasnya. 

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Love 2in1 Hoops Earrings - Anting Love 2in1 Sparklore
Bahan : Titanium Berlapis Emas 18k",20,0,0,FALSE,,,
Nova Hoops,earring,63175,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting Nova Sparklore dengan desain minimalis dan elegan dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk kegiatan sehari-hari, bekerja maupun semiformal. Memberikan aksen mewah dan elegan yang tidak berlebihan untuk sehari-hari. Cocok untuk Anda yang tidak suka Anting berukuran besar.

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Nova Hoops Earrings - Anting Nova Sparklore
Bahan : Titanium Berlapis Emas 18k",20,0,0,FALSE,,,
Goldine Hoop Earrings,earring,135375,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu.

 Anting Goldine Hoop Sparklore dengan desain simple, elegan dan modern yang terbuat dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk kegiatan sehari-hari maupun bekerja. Dengan design yang simple dan unik membuat penampilan Anda akan lebih elegan. Elegan and Pretty!

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi-
 Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Goldine Hoop Hoops Earrings - Anting Goldine Hoop Sparklore
Bahan : Titanium Berlapis Emas 18k & Batu Zircon
Ukuran Produk : 10mm x 2.5mm",20,0,0,FALSE,,,
Love Drops Studs Earrings,earring,63175,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting Love Drops Sparklore dengan desain manis dan unik, terbuat dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk acara formal maupun semiformal, dapat juga digunakan sehari-hari dan pergi bekerja. Membuat penampilan Anda lebih ceria dan menawan. Bagikan cinta di hari-hari Anda. 

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Love Drops Earrings - Anting  Love Drops Sparklore
Bahan : Titanium Berlapis Emas 18k",20,0,0,FALSE,,,
Love Bow Studs Earrings,earring,108300,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting Love Bow Sparklroe dengan desain elegan dan unik, terbuat dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk acara formal maupun semiformal. 

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Love Bow  Earrings - Anting Love Bow 
Bahan : Titanium Berlapis Emas 18k ",20,0,0,FALSE,,,
Chic Clip Earring,earring,122740,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting Jepit Chic Clip Sparklroe dengan desain Simple, cocok untuk perempuan maupun laki-laki yang tidak memiliki tindikan. Terbuat dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. 

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Chic Clip Earrings - Anting Jepit Chic Clip
Bahan : 
Gold : Titanium Berlapis Emas 18k",20,0,0,FALSE,,,
Chic Clip Earring,earring,117325,silver,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting Jepit Chic Clip Sparklroe dengan desain Simple, cocok untuk perempuan maupun laki-laki yang tidak memiliki tindikan. Terbuat dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. 

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Chic Clip Earrings - Anting Jepit Chic Clip
Bahan : 
Silver : Titanium",20,0,0,FALSE,,,
Eclipse Drop Studs,earring,126350,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting Eclipse Drop Sparklroe dengan desain elegan dan unik, terbuat dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk acara formal maupun semiformal. 

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Eclipse Drop Earrings - Anting Eclipse Drop
Bahan : Titanium Berlapis Emas 18k ",20,0,0,FALSE,,,
CoraShell Studs,earring,108300,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting CoraShell Sparklroe dengan desain elegan dan unik, terbuat dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk acara formal maupun semiformal. 

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore CoraShell  Earrings - Anting CoraShell
Bahan : Titanium Berlapis Emas 18k ",20,0,0,FALSE,,,
Timeless Elegance Studs,earring,72200,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting Timeless Elegance Sparklore dengan desain elegan dan mewah dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk acara formal maupun semiformal. Membuat penampilan se-simple apapun menjadi lebih stunning!

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Timeless Elegance Studs Earrings - Anting Timeless Elegance Sparklore
Bahan : Titanium Berlapis Emas 18k",20,0,0,FALSE,,,
