id,alt_text,description,image,uploaded_at
1,Image 1,Image 1,photo_gallery/homeproduct1_qWqUvN8.png,2025-05-26 19:13:01.221626
2,Image 2,Image 2,photo_gallery/homeproduct2.png,2025-05-26 19:13:14.459250
3,Image 3,Image 3,photo_gallery/homeproduct3.png,2025-05-26 19:13:27.255747
4,Image 4,Image 4,photo_gallery/homeproduct4.png,2025-05-26 19:13:42.167273
5,Image 5,Image 5,photo_gallery/homeproduct5.jpeg,2025-05-26 19:13:50.374459
6,Image 6,Image 6,photo_gallery/homeproduct6.jpeg,2025-05-26 19:14:03.881029
